,Class,Precision,Recall,F1 Score
0,[A1010],0.9705882352941176,0.9850746268656716,0.9777777777777777
1,[A1020],1.0,0.9672131147540983,0.9833333333333333
2,[A1030],0.9466666666666667,1.0,0.9726027397260273
3,[A2010],0.9866666666666667,1.0,0.9932885906040269
4,[A2020],1.0,0.8461538461538461,0.9166666666666666
5,[B1010],0.9970238095238095,0.9980139026812314,0.9975186104218362
6,[B1020],0.984375,0.9618320610687023,0.9729729729729729
7,[B2010],0.9981884057971014,0.9963833634719711,0.9972850678733032
8,[B2020],1.0,1.0,1.0
9,[B2030],1.0,0.9333333333333333,0.9655172413793104
10,[B3010],0.9047619047619048,0.9344262295081968,0.9193548387096775
11,[B3020],0.0,0.0,0.0
12,[C1010],0.9298245614035088,0.9981167608286252,0.9627611262488647
13,[C1020],1.0,1.0,1.0
14,[C1030],1.0,1.0,1.0
15,[C2010],1.0,0.524390243902439,0.6880000000000001
16,[C2020],1.0,1.0,1.0
17,[C3010],0.9984326018808778,0.9922118380062306,0.9953125
18,[C3020],0.9980952380952381,1.0,0.9990467111534795
19,[C3030],0.9915730337078652,1.0,0.995768688293371
20,[D1010],1.0,1.0,1.0
21,[D1020],1.0,1.0,1.0
22,[D1090],1.0,1.0,1.0
23,[D2010],0.9565217391304348,1.0,0.9777777777777777
24,[D2020],1.0,1.0,1.0
25,[D2030],0.8823529411764706,0.8823529411764706,0.8823529411764706
26,[D2040],0.0,0.0,0.0
27,[D2090],0.0,0.0,0.0
28,[D3010],1.0,1.0,1.0
29,[D3020],0.8823529411764706,0.8823529411764706,0.8823529411764706
30,[D3030],1.0,1.0,1.0
31,[D3040],0.9959514170040485,0.9959514170040485,0.9959514170040485
32,[D3050],0.9705882352941176,1.0,0.9850746268656716
33,[D3060],0.96,0.96,0.96
34,[D3070],0.9565217391304348,1.0,0.9777777777777777
35,[D3090],1.0,1.0,1.0
36,[D4010],1.0,1.0,1.0
37,[D4020],1.0,1.0,1.0
38,[D4030],1.0,1.0,1.0
39,[D4090],0.9702970297029703,0.9607843137254902,0.9655172413793103
40,[D5010],0.9850187265917603,0.9598540145985401,0.9722735674676525
41,[D5020],1.0,0.9312977099236641,0.9644268774703557
42,[D5030],0.9326923076923077,1.0,0.9651741293532339
43,[D5090],1.0,0.7142857142857143,0.8333333333333333
44,[E1010],1.0,0.8333333333333334,0.9090909090909091
45,[E1020],0.0,0.0,0.0
46,[E1030],0.9636363636363636,0.9814814814814815,0.9724770642201834
47,[E1090],0.9761904761904762,1.0,0.9879518072289156
48,[E2010],1.0,1.0,1.0
