,Class,Precision,Recall,F1 Score
0,A1010,0.9705882352941176,0.9850746268656716,0.9777777777777777
1,A1020,1.0,0.9836065573770492,0.9917355371900827
2,A1030,0.9726027397260274,1.0,0.9861111111111112
3,A2010,0.9866666666666667,1.0,0.9932885906040269
4,A2020,1.0,0.8461538461538461,0.9166666666666666
5,B1010,0.9980139026812314,0.9980139026812314,0.9980139026812314
6,B1020,0.9694656488549618,0.9694656488549618,0.9694656488549618
7,B2010,0.9963963963963964,1.0,0.9981949458483754
8,B2020,1.0,1.0,1.0
9,B2030,1.0,0.9333333333333333,0.9655172413793104
10,B3010,0.9666666666666667,0.9508196721311475,0.9586776859504132
11,B3020,1.0,1.0,1.0
12,C1010,0.9281961471103327,0.9981167608286252,0.9618874773139745
13,C1020,1.0,1.0,1.0
14,C1030,0.9821428571428571,1.0,0.9909909909909909
15,C2010,1.0,0.524390243902439,0.6880000000000001
16,C2020,1.0,1.0,1.0
17,C3010,1.0,0.9922118380062306,0.9960906958561376
18,C3020,0.9980952380952381,1.0,0.9990467111534795
19,C3030,0.9915492957746479,0.9971671388101983,0.9943502824858758
20,D1010,1.0,1.0,1.0
21,D1020,1.0,1.0,1.0
22,D1090,1.0,0.9545454545454546,0.9767441860465117
23,D2010,1.0,1.0,1.0
24,D2020,1.0,1.0,1.0
25,D2030,0.9375,0.8823529411764706,0.9090909090909091
26,D2040,0.0,0.0,0.0
27,D2090,1.0,1.0,1.0
28,D3010,1.0,1.0,1.0
29,D3020,0.8888888888888888,0.9411764705882353,0.9142857142857143
30,D3030,0.9859154929577465,1.0,0.9929078014184397
31,D3040,0.9959349593495935,0.9919028340080972,0.9939148073022313
32,D3050,0.981081081081081,1.0,0.990450204638472
33,D3060,1.0,1.0,1.0
34,D3070,0.9565217391304348,1.0,0.9777777777777777
35,D4010,1.0,1.0,1.0
36,D4020,1.0,1.0,1.0
37,D4030,1.0,1.0,1.0
38,D4090,1.0,1.0,1.0
39,D5010,0.9702970297029703,0.9607843137254902,0.9655172413793103
40,D5020,0.981549815498155,0.9708029197080292,0.9761467889908256
41,D5030,1.0,0.9312977099236641,0.9644268774703557
42,D5090,0.9504950495049505,0.9896907216494846,0.9696969696969696
43,E1010,1.0,1.0,1.0
44,E1020,1.0,0.8333333333333334,0.9090909090909091
45,E1030,1.0,1.0,1.0
46,E1090,0.9636363636363636,0.9814814814814815,0.9724770642201834
47,E2010,1.0,1.0,1.0
48,E2020,1.0,1.0,1.0
