,Class,Precision,Recall,F1 Score
0,A1010,0.0,0.0,0.0
1,A1020,0.0,0.0,0.0
2,A1030,0.0,0.0,0.0
3,A2010,0.0,0.0,0.0
4,A2020,0.0,0.0,0.0
5,B1010,0.0,0.0,0.0
6,B1020,0.0,0.0,0.0
7,B2010,0.0,0.0,0.0
8,B2020,0.0,0.0,0.0
9,B2030,0.0,0.0,0.0
10,B3010,0.0,0.0,0.0
11,B3020,0.0,0.0,0.0
12,C1010,0.0,0.0,0.0
13,C1020,0.0,0.0,0.0
14,C1030,0.0,0.0,0.0
15,C2010,0.0,0.0,0.0
16,C2020,0.0,0.0,0.0
17,C3010,0.0,0.0,0.0
18,C3020,0.0,0.0,0.0
19,C3030,0.0,0.0,0.0
20,D1010,0.0,0.0,0.0
21,D1020,0.0,0.0,0.0
22,D1090,0.0,0.0,0.0
23,D2010,0.0,0.0,0.0
24,D2020,0.0,0.0,0.0
25,D2030,0.0,0.0,0.0
26,D2040,0.00014654161781946072,1.0,0.00029304029304029304
27,D2090,0.0,0.0,0.0
28,D3010,0.0,0.0,0.0
29,D3020,0.0,0.0,0.0
30,D3030,0.0,0.0,0.0
31,D3040,0.0,0.0,0.0
32,D3050,0.0,0.0,0.0
33,D3060,0.0,0.0,0.0
34,D3070,0.0,0.0,0.0
35,D4010,0.0,0.0,0.0
36,D4020,0.0,0.0,0.0
37,D4030,0.0,0.0,0.0
38,D4090,0.0,0.0,0.0
39,D5010,0.0,0.0,0.0
40,D5020,0.0,0.0,0.0
41,D5030,0.0,0.0,0.0
42,D5090,0.0,0.0,0.0
43,E1010,0.0,0.0,0.0
44,E1020,0.0,0.0,0.0
45,E1030,0.0,0.0,0.0
46,E1090,0.0,0.0,0.0
47,E2010,0.0,0.0,0.0
48,E2020,0.0,0.0,0.0
