,Class,Precision,Recall,F1 Score
0,A1010,0.9850746268656716,0.9850746268656716,0.9850746268656716
1,A1020,1.0,0.9672131147540983,0.9833333333333333
2,A1030,0.9342105263157895,1.0,0.9659863945578232
3,A2010,0.9733333333333334,0.9864864864864865,0.9798657718120806
4,A2020,1.0,0.38461538461538464,0.5555555555555556
5,B1010,0.99800796812749,0.9950347567030785,0.9965191447041274
6,B1020,0.9541984732824428,0.9541984732824428,0.9541984732824428
7,B2010,0.9910233393177738,0.9981916817359855,0.9945945945945944
8,B2020,0.9969418960244648,1.0,0.9984686064318529
9,B2030,1.0,0.9333333333333333,0.9655172413793104
10,B3010,0.890625,0.9344262295081968,0.9120000000000001
11,B3020,0.0,0.0,0.0
12,C1010,0.9281961471103327,0.9981167608286252,0.9618874773139745
13,C1020,1.0,1.0,1.0
14,C1030,0.9646017699115044,0.990909090909091,0.9775784753363229
15,C2010,1.0,0.524390243902439,0.6880000000000001
16,C2020,1.0,1.0,1.0
17,C3010,0.9937597503900156,0.9922118380062306,0.9929851909586906
18,C3020,1.0,1.0,1.0
19,C3030,0.9915730337078652,1.0,0.995768688293371
20,D1010,1.0,1.0,1.0
21,D1020,0.8823529411764706,1.0,0.9375
22,D1090,0.9545454545454546,0.9545454545454546,0.9545454545454546
23,D2010,0.9777777777777777,1.0,0.9887640449438202
24,D2020,1.0,1.0,1.0
25,D2030,0.8947368421052632,1.0,0.9444444444444444
26,D2040,0.0,0.0,0.0
27,D2090,0.0,0.0,0.0
28,D3010,1.0,1.0,1.0
29,D3020,1.0,0.8823529411764706,0.9375
30,D3030,0.958904109589041,1.0,0.9790209790209791
31,D3040,0.952755905511811,0.979757085020243,0.9660678642714571
32,D3050,0.9805013927576601,0.9696969696969697,0.9750692520775623
33,D3060,0.9259259259259259,1.0,0.9615384615384615
34,D3070,0.9777777777777777,1.0,0.9887640449438202
35,D4010,1.0,1.0,1.0
36,D4020,1.0,1.0,1.0
37,D4030,1.0,1.0,1.0
38,D4090,0.75,1.0,0.8571428571428571
39,D5010,0.98989898989899,0.9607843137254902,0.9751243781094527
40,D5020,0.9851851851851852,0.9708029197080292,0.9779411764705882
41,D5030,1.0,0.9312977099236641,0.9644268774703557
42,D5090,0.9393939393939394,0.9587628865979382,0.9489795918367346
43,E1010,1.0,0.8571428571428571,0.923076923076923
44,E1020,1.0,0.8333333333333334,0.9090909090909091
45,E1030,0.0,0.0,0.0
46,E1090,0.9636363636363636,0.9814814814814815,0.9724770642201834
47,E2010,0.9879518072289156,1.0,0.993939393939394
48,E2020,1.0,1.0,1.0
