,Class,Precision,Recall,F1 Score
0,A1010,0.9850746268656716,0.9850746268656716,0.9850746268656716
1,A1020,1.0,0.9672131147540983,0.9833333333333333
2,A1030,0.958904109589041,0.9859154929577465,0.9722222222222222
3,A2010,0.961038961038961,1.0,0.9801324503311257
4,A2020,1.0,0.6923076923076923,0.8181818181818181
5,B1010,0.9980139026812314,0.9980139026812314,0.9980139026812314
6,B1020,0.9615384615384616,0.9541984732824428,0.9578544061302683
7,B2010,0.9981949458483754,1.0,0.999096657633243
8,B2020,1.0,1.0,1.0
9,B2030,1.0,0.9333333333333333,0.9655172413793104
10,B3010,0.890625,0.9344262295081968,0.9120000000000001
11,B3020,0.0,0.0,0.0
12,C1010,0.9281961471103327,0.9981167608286252,0.9618874773139745
13,C1020,1.0,1.0,1.0
14,C1030,0.990990990990991,1.0,0.9954751131221719
15,C2010,1.0,0.524390243902439,0.6880000000000001
16,C2020,1.0,1.0,1.0
17,C3010,0.9984276729559748,0.9890965732087228,0.9937402190923318
18,C3020,0.9943074003795066,1.0,0.9971455756422455
19,C3030,0.988795518207283,1.0,0.9943661971830986
20,D1010,1.0,1.0,1.0
21,D1020,1.0,1.0,1.0
22,D1090,1.0,1.0,1.0
23,D2010,1.0,1.0,1.0
24,D2020,1.0,1.0,1.0
25,D2030,0.8823529411764706,0.8823529411764706,0.8823529411764706
26,D2040,0.0,0.0,0.0
27,D2090,0.0,0.0,0.0
28,D3010,1.0,1.0,1.0
29,D3020,0.8823529411764706,0.8823529411764706,0.8823529411764706
30,D3030,0.9859154929577465,1.0,0.9929078014184397
31,D3040,0.9959183673469387,0.9878542510121457,0.991869918699187
32,D3050,0.9757412398921833,0.9972451790633609,0.986376021798365
33,D3060,1.0,1.0,1.0
34,D3070,0.9565217391304348,1.0,0.9777777777777777
35,D4010,1.0,1.0,1.0
36,D4020,1.0,1.0,1.0
37,D4030,1.0,1.0,1.0
38,D4090,0.75,1.0,0.8571428571428571
39,D5010,0.98989898989899,0.9607843137254902,0.9751243781094527
40,D5020,0.9814814814814815,0.9671532846715328,0.9742647058823529
41,D5030,1.0,0.916030534351145,0.9561752988047809
42,D5090,0.9411764705882353,0.9896907216494846,0.964824120603015
43,E1010,0.0,0.0,0.0
44,E1020,1.0,0.8333333333333334,0.9090909090909091
45,E1030,0.1111111111111111,1.0,0.19999999999999998
46,E1090,0.9636363636363636,0.9814814814814815,0.9724770642201834
47,E2010,0.9761904761904762,1.0,0.9879518072289156
48,E2020,1.0,1.0,1.0
