,Class,Precision,Recall,F1 Score
0,A1010,1.0,0.9701492537313433,0.9848484848484849
1,A1020,1.0,0.9672131147540983,0.9833333333333333
2,A1030,0.958904109589041,0.9859154929577465,0.9722222222222222
3,A2010,0.9866666666666667,1.0,0.9932885906040269
4,A2020,0.9166666666666666,0.8461538461538461,0.8799999999999999
5,B1010,0.996969696969697,0.9801390268123138,0.9884827240861292
6,B1020,0.9420289855072463,0.9923664122137404,0.966542750929368
7,B2010,0.998165137614679,0.9837251356238698,0.9908925318761385
8,B2020,1.0,1.0,1.0
9,B2030,1.0,0.9333333333333333,0.9655172413793104
10,B3010,1.0,0.9508196721311475,0.9747899159663865
11,B3020,0.5,0.5,0.5
12,C1010,0.9901185770750988,0.943502824858757,0.9662487945998072
13,C1020,1.0,0.9916666666666667,0.99581589958159
14,C1030,0.990909090909091,0.990909090909091,0.990909090909091
15,C2010,0.7387387387387387,1.0,0.8497409326424871
16,C2020,1.0,1.0,1.0
17,C3010,0.9953125,0.9922118380062306,0.9937597503900156
18,C3020,0.9980879541108987,0.9961832061068703,0.997134670487106
19,C3030,0.9805555555555555,1.0,0.9901823281907433
20,D1010,0.994535519125683,0.994535519125683,0.994535519125683
21,D1020,1.0,1.0,1.0
22,D1090,0.8461538461538461,1.0,0.9166666666666666
23,D2010,1.0,1.0,1.0
24,D2020,1.0,1.0,1.0
25,D2030,1.0,1.0,1.0
26,D2040,0.0,0.0,0.0
27,D2090,1.0,1.0,1.0
28,D3010,1.0,1.0,1.0
29,D3020,1.0,1.0,1.0
30,D3030,0.9859154929577465,1.0,0.9929078014184397
31,D3040,0.9959349593495935,0.9919028340080972,0.9939148073022313
32,D3050,0.9972067039106145,0.9834710743801653,0.9902912621359223
33,D3060,1.0,0.72,0.8372093023255813
34,D3070,0.9772727272727273,0.9772727272727273,0.9772727272727273
35,D4010,1.0,1.0,1.0
36,D4020,1.0,1.0,1.0
37,D4030,1.0,1.0,1.0
38,D4090,1.0,1.0,1.0
39,D5010,0.99,0.9705882352941176,0.9801980198019802
40,D5020,0.9161073825503355,0.9963503649635036,0.9545454545454545
41,D5030,0.9917355371900827,0.916030534351145,0.9523809523809524
42,D5090,0.9230769230769231,0.9896907216494846,0.955223880597015
43,E1010,1.0,1.0,1.0
44,E1020,1.0,0.8333333333333334,0.9090909090909091
45,E1030,1.0,1.0,1.0
46,E1090,0.9298245614035088,0.9814814814814815,0.954954954954955
47,E2010,0.9425287356321839,1.0,0.9704142011834319
48,E2020,1.0,1.0,1.0
