,Class,Precision,Recall,F1 Score
0,A1010,1.0,0.9852941176470589,0.9925925925925926
1,A1020,1.0,0.9871794871794872,0.9935483870967742
2,A1030,0.9772727272727273,1.0,0.9885057471264368
3,A2010,0.9672131147540983,0.9833333333333333,0.9752066115702478
4,A2020,1.0,0.8888888888888888,0.9411764705882353
5,B1010,0.9949341438703141,0.9949341438703141,0.9949341438703141
6,B1020,0.9827586206896551,0.9421487603305785,0.9620253164556961
7,B2010,0.9879931389365352,0.9965397923875432,0.9922480620155039
8,B2020,0.9936507936507937,0.9968152866242038,0.9952305246422894
9,B2030,1.0,0.8888888888888888,0.9411764705882353
10,B3010,0.9459459459459459,0.9722222222222222,0.9589041095890412
11,B3020,0.0,0.0,0.0
12,C1010,0.998003992015968,0.9208103130755064,0.9578544061302681
13,C1020,1.0,1.0,1.0
14,C1030,1.0,1.0,1.0
15,C2010,0.726027397260274,1.0,0.8412698412698413
16,C2020,1.0,1.0,1.0
17,C3010,0.9954058192955589,0.9803921568627451,0.9878419452887538
18,C3020,0.9813780260707635,1.0,0.9906015037593985
19,C3030,0.993920972644377,1.0,0.9969512195121951
20,D1010,0.9887005649717514,1.0,0.9943181818181819
21,D1020,1.0,1.0,1.0
22,D1090,0.8571428571428571,1.0,0.923076923076923
23,D2010,1.0,1.0,1.0
24,D2020,0.9904761904761905,1.0,0.9952153110047847
25,D2030,1.0,0.9375,0.967741935483871
26,D3010,1.0,1.0,1.0
27,D3020,0.9285714285714286,0.9285714285714286,0.9285714285714286
28,D3030,1.0,1.0,1.0
29,D3040,0.9823008849557522,0.9910714285714286,0.9866666666666667
30,D3050,1.0,0.9717514124293786,0.9856733524355301
31,D3060,1.0,0.9523809523809523,0.975609756097561
32,D3070,0.9607843137254902,0.98,0.9702970297029702
33,D3090,1.0,1.0,1.0
34,D4010,1.0,1.0,1.0
35,D4020,1.0,1.0,1.0
36,D4030,0.9,1.0,0.9473684210526316
37,D4090,1.0,1.0,1.0
38,D5010,0.979381443298969,0.9895833333333334,0.9844559585492227
39,D5020,0.9609929078014184,1.0,0.9801084990958409
40,D5030,1.0,0.9765625,0.9881422924901185
41,D5090,0.9902912621359223,1.0,0.9951219512195122
42,E1010,0.875,1.0,0.9333333333333333
43,E1020,1.0,0.6666666666666666,0.8
44,E1090,1.0,0.9772727272727273,0.9885057471264368
45,E2010,1.0,1.0,1.0
46,E2020,1.0,1.0,1.0
