,Class,Precision,Recall,F1 Score
0,A1010,1.0,0.5970149253731343,0.7476635514018691
1,A1020,0.5229357798165137,0.9344262295081968,0.6705882352941176
2,A1030,0.8043478260869565,0.5211267605633803,0.6324786324786325
3,A2010,0.9777777777777777,0.5945945945945946,0.7394957983193278
4,A2020,0.0,0.0,0.0
5,B1010,0.952561669829222,0.997020854021847,0.9742843279961183
6,B1020,0.6686046511627907,0.8778625954198473,0.759075907590759
7,B2010,0.9630281690140845,0.9891500904159132,0.975914362176628
8,B2020,0.9643916913946587,0.9969325153374233,0.9803921568627452
9,B2030,0.0,0.0,0.0
10,B3010,0.75,0.09836065573770492,0.17391304347826086
11,B3020,0.0,0.0,0.0
12,C1010,0.903114186851211,0.9830508474576272,0.9413886384129847
13,C1020,0.8686131386861314,0.9916666666666667,0.926070038910506
14,C1030,0.7021276595744681,0.9,0.7888446215139443
15,C2010,0.9772727272727273,0.524390243902439,0.6825396825396824
16,C2020,0.0,0.0,0.0
17,C3010,0.9722222222222222,0.9813084112149533,0.9767441860465117
18,C3020,0.9576427255985267,0.9923664122137404,0.9746954076850985
19,C3030,0.9228723404255319,0.9830028328611898,0.9519890260631001
20,D1010,0.915,1.0,0.9556135770234987
21,D1020,1.0,0.7333333333333333,0.846153846153846
22,D1090,0.0,0.0,0.0
23,D2010,1.0,0.045454545454545456,0.08695652173913045
24,D2020,0.8449612403100775,0.9646017699115044,0.9008264462809916
25,D2030,0.0,0.0,0.0
26,D2040,0.0,0.0,0.0
27,D2090,0.0,0.0,0.0
28,D3010,0.0,0.0,0.0
29,D3020,0.0,0.0,0.0
30,D3030,0.6330275229357798,0.9857142857142858,0.770949720670391
31,D3040,0.8636363636363636,0.9230769230769231,0.8923679060665364
32,D3050,0.9970501474926253,0.931129476584022,0.9629629629629629
33,D3060,0.0,0.0,0.0
34,D3070,1.0,0.1590909090909091,0.2745098039215686
35,D4010,1.0,1.0,1.0
36,D4020,0.9705882352941176,0.9850746268656716,0.9777777777777777
37,D4030,1.0,0.14285714285714285,0.25
38,D4090,0.0,0.0,0.0
39,D5010,0.8478260869565217,0.7647058823529411,0.8041237113402062
40,D5020,0.8827586206896552,0.9343065693430657,0.9078014184397163
41,D5030,0.5398230088495575,0.9312977099236641,0.6834733893557423
42,D5090,1.0,0.35051546391752575,0.5190839694656488
43,E1010,0.0,0.0,0.0
44,E1020,0.0,0.0,0.0
45,E1030,0.0,0.0,0.0
46,E1090,0.9285714285714286,0.48148148148148145,0.6341463414634146
47,E2010,0.6574074074074074,0.8658536585365854,0.7473684210526317
48,E2020,0.0,0.0,0.0
