,Class,Precision,Recall,F1 Score
0,[A1010],1.0,0.9850746268656716,0.9924812030075187
1,[A1020],1.0,0.9836065573770492,0.9917355371900827
2,[A1030],0.9452054794520548,0.971830985915493,0.9583333333333334
3,[A2010],0.9866666666666667,1.0,0.9932885906040269
4,[A2020],1.0,0.46153846153846156,0.631578947368421
5,[B1010],0.997020854021847,0.997020854021847,0.997020854021847
6,[B1020],0.9692307692307692,0.9618320610687023,0.9655172413793103
7,[B2010],0.9963898916967509,0.9981916817359855,0.997289972899729
8,[B2020],0.9969418960244648,1.0,0.9984686064318529
9,[B2030],1.0,0.9333333333333333,0.9655172413793104
10,[B3010],0.9047619047619048,0.9344262295081968,0.9193548387096775
11,[B3020],0.0,0.0,0.0
12,[C1010],0.9313380281690141,0.9962335216572504,0.9626933575978163
13,[C1020],1.0,1.0,1.0
14,[C1030],0.990990990990991,1.0,0.9954751131221719
15,[C2010],1.0,0.524390243902439,0.6880000000000001
16,[C2020],1.0,1.0,1.0
17,[C3010],0.9953125,0.9922118380062306,0.9937597503900156
18,[C3020],0.9961977186311787,1.0,0.9980952380952381
19,[C3030],0.9778393351800554,1.0,0.988795518207283
20,[D1010],1.0,1.0,1.0
21,[D1020],1.0,1.0,1.0
22,[D1090],1.0,1.0,1.0
23,[D2010],1.0,1.0,1.0
24,[D2020],1.0,1.0,1.0
25,[D2030],1.0,0.8235294117647058,0.9032258064516129
26,[D2040],0.0,0.0,0.0
27,[D2090],0.0,0.0,0.0
28,[D3010],1.0,1.0,1.0
29,[D3020],0.85,1.0,0.9189189189189189
30,[D3030],0.9859154929577465,1.0,0.9929078014184397
31,[D3040],1.0,0.9959514170040485,0.9979716024340771
32,[D3050],0.9784366576819407,1.0,0.989100817438692
33,[D3060],1.0,1.0,1.0
34,[D3070],0.9565217391304348,1.0,0.9777777777777777
35,[D4010],1.0,1.0,1.0
36,[D4020],1.0,1.0,1.0
37,[D4030],0.875,1.0,0.9333333333333333
38,[D4090],1.0,1.0,1.0
39,[D5010],0.970873786407767,0.9803921568627451,0.975609756097561
40,[D5020],0.9851851851851852,0.9708029197080292,0.9779411764705882
41,[D5030],1.0,0.9312977099236641,0.9644268774703557
42,[D5090],0.9696969696969697,0.9896907216494846,0.9795918367346939
43,[E1010],1.0,1.0,1.0
44,[E1020],1.0,0.8333333333333334,0.9090909090909091
45,[E1030],0.0,0.0,0.0
46,[E1090],0.9464285714285714,0.9814814814814815,0.9636363636363636
47,[E2010],1.0,1.0,1.0
48,[E2020],1.0,1.0,1.0
