,Class,Precision,Recall,F1 Score
0,A1010,1.0,1.0,1.0
1,A1020,1.0,1.0,1.0
2,A1030,1.0,1.0,1.0
3,A2010,1.0,1.0,1.0
4,A2020,1.0,0.9230769230769231,0.9600000000000001
5,B1010,0.9990079365079365,1.0,0.9995037220843672
6,B1020,1.0,1.0,1.0
7,B2010,1.0,1.0,1.0
8,B2020,1.0,1.0,1.0
9,B2030,1.0,1.0,1.0
10,B3010,0.9838709677419355,1.0,0.991869918699187
11,B3020,0.0,0.0,0.0
12,C1010,1.0,0.9453860640301318,0.9719264278799612
13,C1020,1.0,1.0,1.0
14,C1030,1.0,1.0,1.0
15,C2010,0.7387387387387387,1.0,0.8497409326424871
16,C2020,1.0,1.0,1.0
17,C3010,1.0,0.9953271028037384,0.9976580796252927
18,C3020,1.0,1.0,1.0
19,C3030,0.9915730337078652,1.0,0.995768688293371
20,D1010,1.0,1.0,1.0
21,D1020,1.0,1.0,1.0
22,D1090,0.9565217391304348,1.0,0.9777777777777777
23,D2010,0.9565217391304348,1.0,0.9777777777777777
24,D2020,1.0,1.0,1.0
25,D2030,0.8947368421052632,1.0,0.9444444444444444
26,D2040,0.0,0.0,0.0
27,D2090,0.0,0.0,0.0
28,D3010,1.0,1.0,1.0
29,D3020,1.0,0.8823529411764706,0.9375
30,D3030,1.0,1.0,1.0
31,D3040,1.0,0.9959514170040485,0.9979716024340771
32,D3050,0.9972067039106145,0.9834710743801653,0.9902912621359223
33,D3060,1.0,1.0,1.0
34,D3070,1.0,1.0,1.0
35,D4010,1.0,1.0,1.0
36,D4020,1.0,1.0,1.0
37,D4030,1.0,1.0,1.0
38,D4090,1.0,1.0,1.0
39,D5010,1.0,0.9509803921568627,0.9748743718592965
40,D5020,0.9480968858131488,1.0,0.9733570159857905
41,D5030,1.0,0.9770992366412213,0.9884169884169884
42,D5090,0.9791666666666666,0.9690721649484536,0.9740932642487047
43,E1010,1.0,1.0,1.0
44,E1020,1.0,0.8333333333333334,0.9090909090909091
45,E1030,0.0,0.0,0.0
46,E1090,0.9818181818181818,1.0,0.9908256880733944
47,E2010,0.9879518072289156,1.0,0.993939393939394
48,E2020,1.0,1.0,1.0
