,Class,Precision,Recall,F1 Score
0,A1010,0.9705882352941176,0.9850746268656716,0.9777777777777777
1,A1020,1.0,0.9672131147540983,0.9833333333333333
2,A1030,0.9333333333333333,0.9859154929577465,0.9589041095890412
3,A2010,1.0,0.972972972972973,0.9863013698630138
4,A2020,0.7333333333333333,0.8461538461538461,0.7857142857142856
5,B1010,0.997020854021847,0.997020854021847,0.997020854021847
6,B1020,0.96875,0.9465648854961832,0.9575289575289575
7,B2010,0.9963963963963964,1.0,0.9981949458483754
8,B2020,1.0,1.0,1.0
9,B2030,1.0,0.9333333333333333,0.9655172413793104
10,B3010,0.8923076923076924,0.9508196721311475,0.9206349206349206
11,B3020,0.0,0.0,0.0
12,C1010,0.9295774647887324,0.9943502824858758,0.9608735213830756
13,C1020,1.0,0.9916666666666667,0.99581589958159
14,C1030,0.9646017699115044,0.990909090909091,0.9775784753363229
15,C2010,1.0,0.524390243902439,0.6880000000000001
16,C2020,1.0,1.0,1.0
17,C3010,0.9968701095461658,0.9922118380062306,0.994535519125683
18,C3020,1.0,1.0,1.0
19,C3030,0.9915730337078652,1.0,0.995768688293371
20,D1010,1.0,1.0,1.0
21,D1020,1.0,1.0,1.0
22,D1090,1.0,1.0,1.0
23,D2010,0.9565217391304348,1.0,0.9777777777777777
24,D2020,1.0,1.0,1.0
25,D2030,0.8823529411764706,0.8823529411764706,0.8823529411764706
26,D2040,1.0,1.0,1.0
27,D2090,0.0,0.0,0.0
28,D3010,1.0,1.0,1.0
29,D3020,0.8823529411764706,0.8823529411764706,0.8823529411764706
30,D3030,1.0,1.0,1.0
31,D3040,1.0,0.9838056680161943,0.9918367346938776
32,D3050,0.981081081081081,1.0,0.990450204638472
33,D3060,0.9259259259259259,1.0,0.9615384615384615
34,D3070,0.9361702127659575,1.0,0.967032967032967
35,D4010,1.0,1.0,1.0
36,D4020,1.0,1.0,1.0
37,D4030,1.0,1.0,1.0
38,D4090,1.0,1.0,1.0
39,D5010,1.0,0.9509803921568627,0.9748743718592965
40,D5020,0.9851301115241635,0.9671532846715328,0.9760589318600369
41,D5030,1.0,0.9312977099236641,0.9644268774703557
42,D5090,0.9150943396226415,1.0,0.9556650246305419
43,E1010,0.0,0.0,0.0
44,E1020,1.0,0.8333333333333334,0.9090909090909091
45,E1030,0.0,0.0,0.0
46,E1090,0.9636363636363636,0.9814814814814815,0.9724770642201834
47,E2010,0.9879518072289156,1.0,0.993939393939394
48,E2020,0.6153846153846154,1.0,0.761904761904762
