,Class,Precision,Recall,F1 Score
0,A1010,0.9428571428571428,0.9850746268656716,0.9635036496350364
1,A1020,1.0,0.9672131147540983,0.9833333333333333
2,A1030,0.958904109589041,0.9859154929577465,0.9722222222222222
3,A2010,0.9736842105263158,1.0,0.9866666666666666
4,A2020,1.0,0.8461538461538461,0.9166666666666666
5,B1010,0.997020854021847,0.997020854021847,0.997020854021847
6,B1020,0.9615384615384616,0.9541984732824428,0.9578544061302683
7,B2010,0.992818671454219,1.0,0.9963963963963963
8,B2020,1.0,1.0,1.0
9,B2030,0.9285714285714286,0.8666666666666667,0.896551724137931
10,B3010,0.9047619047619048,0.9344262295081968,0.9193548387096775
11,B3020,0.0,0.0,0.0
12,C1010,0.931095406360424,0.992467043314501,0.9608021877848679
13,C1020,1.0,0.9916666666666667,0.99581589958159
14,C1030,0.9819819819819819,0.990909090909091,0.9864253393665158
15,C2010,1.0,0.524390243902439,0.6880000000000001
16,C2020,1.0,1.0,1.0
17,C3010,0.9984326018808778,0.9922118380062306,0.9953125
18,C3020,0.9980952380952381,1.0,0.9990467111534795
19,C3030,0.9860335195530726,1.0,0.9929676511954993
20,D1010,1.0,1.0,1.0
21,D1020,1.0,1.0,1.0
22,D1090,1.0,1.0,1.0
23,D2010,1.0,1.0,1.0
24,D2020,1.0,1.0,1.0
25,D2030,1.0,0.8235294117647058,0.9032258064516129
26,D2040,0.0,0.0,0.0
27,D2090,0.0,0.0,0.0
28,D3010,1.0,1.0,1.0
29,D3020,0.7727272727272727,1.0,0.8717948717948718
30,D3030,1.0,1.0,1.0
31,D3040,1.0,0.9959514170040485,0.9979716024340771
32,D3050,0.981081081081081,1.0,0.990450204638472
33,D3060,1.0,1.0,1.0
34,D3070,0.9565217391304348,1.0,0.9777777777777777
35,D4010,1.0,1.0,1.0
36,D4020,1.0,1.0,1.0
37,D4030,1.0,1.0,1.0
38,D4090,0.75,1.0,0.8571428571428571
39,D5010,0.970873786407767,0.9803921568627451,0.975609756097561
40,D5020,0.9851851851851852,0.9708029197080292,0.9779411764705882
41,D5030,1.0,0.9236641221374046,0.9603174603174602
42,D5090,0.9693877551020408,0.979381443298969,0.9743589743589743
43,E1010,1.0,0.7142857142857143,0.8333333333333333
44,E1020,1.0,0.8333333333333334,0.9090909090909091
45,E1030,0.0,0.0,0.0
46,E1090,0.9298245614035088,0.9814814814814815,0.954954954954955
47,E2010,0.9879518072289156,1.0,0.993939393939394
48,E2020,1.0,1.0,1.0
