,Class,Precision,Recall,F1 Score
0,[A1010],1.0,0.9577464788732394,0.9784172661870503
1,[A1020],0.971830985915493,1.0,0.9857142857142858
2,[A1030],0.9529411764705882,0.9878048780487805,0.9700598802395209
3,[A2010],0.9857142857142858,0.971830985915493,0.9787234042553192
4,[A2020],1.0,0.9411764705882353,0.9696969696969697
5,[B1010],0.9913978494623656,0.9924650161463939,0.9919311457772997
6,[B1020],0.9558823529411765,0.9629629629629629,0.959409594095941
7,[B2010],0.9965986394557823,0.9832214765100671,0.9898648648648648
8,[B2020],1.0,0.9935483870967742,0.9967637540453074
9,[B2030],0.8571428571428571,1.0,0.923076923076923
10,[B3010],0.8656716417910447,0.9354838709677419,0.8992248062015503
11,[B3020],0.0,0.0,0.0
12,[C1010],0.9874739039665971,0.9347826086956522,0.9604060913705584
13,[C1020],1.0,1.0,1.0
14,[C1030],1.0,0.9814814814814815,0.9906542056074767
15,[C2010],0.6964285714285714,0.9629629629629629,0.8082901554404144
16,[C3010],0.9985652797704447,0.997134670487106,0.9978494623655914
17,[C3020],0.9962406015037594,0.9981167608286252,0.9971777986829727
18,[C3030],0.9943977591036415,0.9971910112359551,0.9957924263674615
19,[D1010],0.9888888888888889,0.994413407821229,0.9916434540389972
20,[D1020],1.0,1.0,1.0
21,[D1090],0.75,0.9,0.8181818181818182
22,[D2010],0.9811320754716981,0.9811320754716981,0.9811320754716981
23,[D2020],0.9906542056074766,1.0,0.9953051643192489
24,[D2030],0.9259259259259259,1.0,0.9615384615384615
25,[D2090],0.0,0.0,0.0
26,[D3010],1.0,1.0,1.0
27,[D3020],1.0,0.8823529411764706,0.9375
28,[D3030],0.9859154929577465,1.0,0.9929078014184397
29,[D3040],0.9912663755458515,0.9869565217391304,0.989106753812636
30,[D3050],0.9893048128342246,0.9814323607427056,0.9853528628495338
31,[D3060],0.9523809523809523,0.9090909090909091,0.9302325581395349
32,[D3070],0.9761904761904762,1.0,0.9879518072289156
33,[D4010],1.0,1.0,1.0
34,[D4020],1.0,0.9871794871794872,0.9935483870967742
35,[D4030],1.0,1.0,1.0
36,[D4090],1.0,0.8333333333333334,0.9090909090909091
37,[D5010],0.9893617021276596,0.96875,0.9789473684210526
38,[D5020],0.9621993127147767,0.99644128113879,0.979020979020979
39,[D5030],0.9905660377358491,0.9292035398230089,0.9589041095890412
40,[D5090],0.956989247311828,1.0,0.978021978021978
41,[E1010],1.0,0.75,0.8571428571428571
42,[E1020],1.0,0.5,0.6666666666666666
43,[E1090],0.9821428571428571,1.0,0.9909909909909909
44,[E2010],1.0,1.0,1.0
45,[E2020],1.0,1.0,1.0
