,Class,Precision,Recall,F1 Score
0,[A1010],0.9863013698630136,0.972972972972973,0.979591836734694
1,[A1020],1.0,0.96875,0.9841269841269841
2,[A1030],0.9888888888888889,0.9888888888888889,0.9888888888888889
3,[A2010],1.0,0.9838709677419355,0.991869918699187
4,[A2020],1.0,0.6666666666666666,0.8
5,[B1010],0.9806576402321083,0.9980314960629921,0.9892682926829268
6,[B1020],0.9758064516129032,0.9029850746268657,0.937984496124031
7,[B2010],0.9916247906197655,0.9817578772802653,0.9866666666666666
8,[B2020],0.9941348973607038,1.0,0.9970588235294118
9,[B2030],1.0,0.8333333333333334,0.9090909090909091
10,[B3010],0.9230769230769231,0.96,0.9411764705882353
11,[B3020],0.0,0.0,0.0
12,[C1010],0.949438202247191,0.9921722113502935,0.970334928229665
13,[C1020],0.9914529914529915,1.0,0.9957081545064378
14,[C1030],0.9629629629629629,1.0,0.9811320754716981
15,[C2010],0.9857142857142858,0.71875,0.8313253012048192
16,[C2020],1.0,1.0,1.0
17,[C3010],1.0,0.9968102073365231,0.9984025559105432
18,[C3020],1.0,0.9960159362549801,0.998003992015968
19,[C3030],0.9913793103448276,1.0,0.9956709956709957
20,[D1010],0.9941860465116279,0.9941860465116279,0.9941860465116279
21,[D1020],1.0,1.0,1.0
22,[D1090],1.0,1.0,1.0
23,[D2010],1.0,1.0,1.0
24,[D2020],1.0,1.0,1.0
25,[D2030],1.0,0.7272727272727273,0.8421052631578948
26,[D3010],1.0,1.0,1.0
27,[D3020],0.8421052631578947,1.0,0.9142857142857143
28,[D3030],0.9883720930232558,1.0,0.9941520467836257
29,[D3040],0.9956140350877193,0.9956140350877193,0.9956140350877193
30,[D3050],0.990909090909091,0.9849397590361446,0.987915407854985
31,[D3060],0.9333333333333333,1.0,0.9655172413793104
32,[D3070],0.9811320754716981,1.0,0.9904761904761905
33,[D3090],0.0,0.0,0.0
34,[D4010],1.0,0.9733333333333334,0.9864864864864865
35,[D4020],1.0,1.0,1.0
36,[D4030],1.0,1.0,1.0
37,[D4090],0.6,1.0,0.7499999999999999
38,[D5010],0.9911504424778761,0.9824561403508771,0.9867841409691629
39,[D5020],0.9820143884892086,0.9963503649635036,0.9891304347826086
40,[D5030],0.983739837398374,0.968,0.9758064516129032
41,[D5090],0.9702970297029703,0.98,0.9751243781094527
42,[E1010],1.0,1.0,1.0
43,[E1020],1.0,0.8333333333333334,0.9090909090909091
44,[E1090],1.0,0.9811320754716981,0.9904761904761905
45,[E2010],1.0,1.0,1.0
46,[E2020],1.0,1.0,1.0
